Model,Origin,Model_Year,Weight,when,Acceleration,cyl4,Cylinders,Displacement,Horsepower,Mfg,MPG,org
"peugeot 304                         ","France ",71,2074,"Early",19.5,"Four ",4,79,70,"peugeot      ",30,"Europe "
"fiat 124b                           ","Italy  ",71,2065,"Early",14.5,"Four ",4,88,76,"fiat         ",30,"Europe "
"toyota corolla 1200                 ","Japan  ",71,1773,"Early",19,"Four ",4,71,65,"toyota       ",31,"Japan  "
"datsun 1200                         ","Japan  ",71,1613,"Early",18,"Four ",4,72,69,"datsun       ",35,"Japan  "
"volkswagen model 111                ","Germany",71,1834,"Early",19,"Four ",4,97,60,"volkswagen   ",27,"Europe "
"plymouth cricket                    ","USA    ",71,1955,"Early",20.5,"Four ",4,91,70,"plymouth     ",26,"USA    "
"toyota corona hardtop               ","Japan  ",72,2278,"Early",15.5,"Four ",4,113,95,"toyota       ",24,"Japan  "
"dodge colt hardtop                  ","USA    ",72,2126,"Early",17,"Four ",4,97.5,80,"dodge        ",25,"USA    "
"volkswagen type 3                   ","Germany",72,2254,"Early",23.5,"Four ",4,97,54,"volkswagen   ",23,"Europe "
"chevrolet vega                      ","USA    ",72,2408,"Early",19.5,"Four ",4,140,90,"chevrolet    ",20,"USA    "
"ford pinto runabout                 ","USA    ",72,2226,"Early",16.5,"Four ",4,122,86,"ford         ",21,"USA    "
"chevrolet impala                    ","USA    ",72,4274,"Early",12,"Other",8,350,165,"chevrolet    ",13,"USA    "
"pontiac catalina                    ","USA    ",72,4385,"Early",12,"Other",8,400,175,"pontiac      ",14,"USA    "
"plymouth fury iii                   ","USA    ",72,4135,"Early",13.5,"Other",8,318,150,"plymouth     ",15,"USA    "
"ford galaxie 500                    ","USA    ",72,4129,"Early",13,"Other",8,351,153,"ford         ",14,"USA    "
"amc ambassador sst                  ","USA    ",72,3672,"Early",11.5,"Other",8,304,150,"amc          ",17,"USA    "
"mercury marquis                     ","USA    ",72,4633,"Early",11,"Other",8,429,208,"mercury      ",11,"USA    "
"buick lesabre custom                ","USA    ",72,4502,"Early",13.5,"Other",8,350,155,"buick        ",13,"USA    "
"oldsmobile delta 88 royale          ","USA    ",72,4456,"Early",13.5,"Other",8,350,160,"oldsmobile   ",12,"USA    "
"chrysler newport royal              ","USA    ",72,4422,"Early",12.5,"Other",8,400,190,"chrysler     ",13,"USA    "
"mazda rx2 coupe                     ","Japan  ",72,2330,"Early",13.5,"Other",3,70,97,"mazda        ",19,"Japan  "
"amc matador (sw)                    ","USA    ",72,3892,"Early",12.5,"Other",8,304,150,"amc          ",15,"USA    "
"chevrolet chevelle concours (sw)    ","USA    ",72,4098,"Early",14,"Other",8,307,130,"chevrolet    ",13,"USA    "
"ford gran torino (sw)               ","USA    ",72,4294,"Early",16,"Other",8,302,140,"ford         ",13,"USA    "
"plymouth satellite custom (sw)      ","USA    ",72,4077,"Early",14,"Other",8,318,150,"plymouth     ",14,"USA    "
"volvo 145e (sw)                     ","Sweden ",72,2933,"Early",14.5,"Four ",4,121,112,"volvo        ",18,"Europe "
"volkswagen 411 (sw)                 ","Germany",72,2511,"Early",18,"Four ",4,121,76,"volkswagen   ",22,"Europe "
"peugeot 504 (sw)                    ","France ",72,2979,"Early",19.5,"Four ",4,120,87,"peugeot      ",21,"Europe "
"renault 12 (sw)                     ","France ",72,2189,"Early",18,"Four ",4,96,69,"renault      ",26,"Europe "
"ford pinto (sw)                     ","USA    ",72,2395,"Early",16,"Four ",4,122,86,"ford         ",22,"USA    "
"datsun 510 (sw)                     ","Japan  ",72,2288,"Early",17,"Four ",4,97,92,"datsun       ",28,"Japan  "
"toyota corona mark ii (sw)          ","Japan  ",72,2506,"Early",14.5,"Four ",4,120,97,"toyota       ",23,"Japan  "
"dodge colt (sw)                     ","USA    ",72,2164,"Early",15,"Four ",4,98,80,"dodge        ",28,"USA    "
"toyota corolla 1600 (sw)            ","Japan  ",72,2100,"Early",16.5,"Four ",4,97,88,"toyota       ",27,"Japan  "
"buick century 350                   ","USA    ",73,4100,"Early",13,"Other",8,350,175,"buick        ",13,"USA    "
"amc matador                         ","USA    ",73,3672,"Early",11.5,"Other",8,304,150,"amc          ",14,"USA    "
"chevrolet malibu                    ","USA    ",73,3988,"Early",13,"Other",8,350,145,"chevrolet    ",13,"USA    "
"ford gran torino                    ","USA    ",73,4042,"Early",14.5,"Other",8,302,137,"ford         ",14,"USA    "
"dodge coronet custom                ","USA    ",73,3777,"Early",12.5,"Other",8,318,150,"dodge        ",15,"USA    "
"mercury marquis brougham            ","USA    ",73,4952,"Early",11.5,"Other",8,429,198,"mercury      ",12,"USA    "
"chevrolet caprice classic           ","USA    ",73,4464,"Early",12,"Other",8,400,150,"chevrolet    ",13,"USA    "
"ford ltd                            ","USA    ",73,4363,"Early",13,"Other",8,351,158,"ford         ",13,"USA    "
"plymouth fury gran sedan            ","USA    ",73,4237,"Early",14.5,"Other",8,318,150,"plymouth     ",14,"USA    "
"chrysler new yorker brougham        ","USA    ",73,4735,"Early",11,"Other",8,440,215,"chrysler     ",13,"USA    "
"buick electra 225 custom            ","USA    ",73,4951,"Early",11,"Other",8,455,225,"buick        ",12,"USA    "
"amc ambassador brougham             ","USA    ",73,3821,"Early",11,"Other",8,360,175,"amc          ",13,"USA    "
"plymouth valiant                    ","USA    ",73,3121,"Early",16.5,"Other",6,225,105,"plymouth     ",18,"USA    "
"chevrolet nova custom               ","USA    ",73,3278,"Early",18,"Other",6,250,100,"chevrolet    ",16,"USA    "
"amc hornet                          ","USA    ",73,2945,"Early",16,"Other",6,232,100,"amc          ",18,"USA    "
"ford maverick                       ","USA    ",73,3021,"Early",16.5,"Other",6,250,88,"ford         ",18,"USA    "
"plymouth duster                     ","USA    ",73,2904,"Early",16,"Other",6,198,95,"plymouth     ",23,"USA    "
"volkswagen super beetle             ","Germany",73,1950,"Early",21,"Four ",4,97,46,"volkswagen   ",26,"Europe "
"chevrolet impala                    ","USA    ",73,4997,"Early",14,"Other",8,400,150,"chevrolet    ",11,"USA    "
"ford country                        ","USA    ",73,4906,"Early",12.5,"Other",8,400,167,"ford         ",12,"USA    "
"plymouth custom suburb              ","USA    ",73,4654,"Early",13,"Other",8,360,170,"plymouth     ",13,"USA    "
"oldsmobile vista cruiser            ","USA    ",73,4499,"Early",12.5,"Other",8,350,180,"oldsmobile   ",12,"USA    "
"amc gremlin                         ","USA    ",73,2789,"Early",15,"Other",6,232,100,"amc          ",18,"USA    "
"toyota carina                       ","Japan  ",73,2279,"Early",19,"Four ",4,97,88,"toyota       ",20,"Japan  "
"chevrolet vega                      ","USA    ",73,2401,"Early",19.5,"Four ",4,140,72,"chevrolet    ",21,"USA    "
"datsun 610                          ","Japan  ",73,2379,"Early",16.5,"Four ",4,108,94,"datsun       ",22,"Japan  "
"mazda rx3                           ","Japan  ",73,2124,"Early",13.5,"Other",3,70,90,"mazda        ",18,"Japan  "
"ford pinto                          ","USA    ",73,2310,"Early",18.5,"Four ",4,122,85,"ford         ",19,"USA    "
"mercury capri v6                    ","USA    ",73,2472,"Early",14,"Other",6,155,107,"mercury      ",21,"USA    "
"fiat 124 sport coupe                ","Italy  ",73,2265,"Early",15.5,"Four ",4,98,90,"fiat         ",26,"Europe "
"chevrolet monte carlo s             ","USA    ",73,4082,"Early",13,"Other",8,350,145,"chevrolet    ",15,"USA    "
"pontiac grand prix                  ","USA    ",73,4278,"Early",9.5,"Other",8,400,230,"pontiac      ",16,"USA    "
"fiat 128                            ","Italy  ",73,1867,"Early",19.5,"Four ",4,68,49,"fiat         ",29,"Europe "
"opel manta                          ","Germany",73,2158,"Early",15.5,"Four ",4,116,75,"opel         ",24,"Europe "
"audi 100ls                          ","Germany",73,2582,"Early",14,"Four ",4,114,91,"audi         ",20,"Europe "
"volvo 144ea                         ","Sweden ",73,2868,"Early",15.5,"Four ",4,121,112,"volvo        ",19,"Europe "
"dodge dart custom                   ","USA    ",73,3399,"Early",11,"Other",8,318,150,"dodge        ",15,"USA    "
"saab 99le                           ","Sweden ",73,2660,"Early",14,"Four ",4,121,110,"saab         ",24,"Europe "
"toyota mark ii                      ","Japan  ",73,2807,"Early",13.5,"Other",6,156,122,"toyota       ",20,"Japan  "
"oldsmobile omega                    ","USA    ",73,3664,"Early",11,"Other",8,350,180,"oldsmobile   ",11,"USA    "
"plymouth duster                     ","USA    ",74,3102,"Mid  ",16.5,"Other",6,198,95,"plymouth     ",20,"USA    "
"ford maverick                       ","USA    ",74,2875,"Mid  ",17,"Other",6,200,NaN,"ford         ",21,"USA    "
"amc hornet                          ","USA    ",74,2901,"Mid  ",16,"Other",6,232,100,"amc          ",19,"USA    "
"chevrolet nova                      ","USA    ",74,3336,"Mid  ",17,"Other",6,250,100,"chevrolet    ",15,"USA    "
"datsun b210                         ","Japan  ",74,1950,"Mid  ",19,"Four ",4,79,67,"datsun       ",31,"Japan  "
"ford pinto                          ","USA    ",74,2451,"Mid  ",16.5,"Four ",4,122,80,"ford         ",26,"USA    "
"toyota corolla 1200                 ","Japan  ",74,1836,"Mid  ",21,"Four ",4,71,65,"toyota       ",32,"Japan  "
"chevrolet vega                      ","USA    ",74,2542,"Mid  ",17,"Four ",4,140,75,"chevrolet    ",25,"USA    "
"chevrolet chevelle malibu classic   ","USA    ",74,3781,"Mid  ",17,"Other",6,250,100,"chevrolet    ",16,"USA    "
"amc matador                         ","USA    ",74,3632,"Mid  ",18,"Other",6,258,110,"amc          ",16,"USA    "
"plymouth satellite sebring          ","USA    ",74,3613,"Mid  ",16.5,"Other",6,225,105,"plymouth     ",18,"USA    "
"ford gran torino                    ","USA    ",74,4141,"Mid  ",14,"Other",8,302,140,"ford         ",16,"USA    "
"buick century luxus (sw)            ","USA    ",74,4699,"Mid  ",14.5,"Other",8,350,150,"buick        ",13,"USA    "
"dodge coronet custom (sw)           ","USA    ",74,4457,"Mid  ",13.5,"Other",8,318,150,"dodge        ",14,"USA    "
"ford gran torino (sw)               ","USA    ",74,4638,"Mid  ",16,"Other",8,302,140,"ford         ",14,"USA    "
"amc matador (sw)                    ","USA    ",74,4257,"Mid  ",15.5,"Other",8,304,150,"amc          ",14,"USA    "
"audi fox                            ","Germany",74,2219,"Mid  ",16.5,"Four ",4,98,83,"audi         ",29,"Europe "
"volkswagen dasher                   ","Germany",74,1963,"Mid  ",15.5,"Four ",4,79,67,"volkswagen   ",26,"Europe "
"opel manta                          ","Germany",74,2300,"Mid  ",14.5,"Four ",4,97,78,"opel         ",26,"Europe "
"toyota corona                       ","Japan  ",74,1649,"Mid  ",16.5,"Four ",4,76,52,"toyota       ",31,"Japan  "
"datsun 710                          ","Japan  ",74,2003,"Mid  ",19,"Four ",4,83,61,"datsun       ",32,"Japan  "
"dodge colt                          ","USA    ",74,2125,"Mid  ",14.5,"Four ",4,90,75,"dodge        ",28,"USA    "
"fiat 128                            ","Italy  ",74,2108,"Mid  ",15.5,"Four ",4,90,75,"fiat         ",24,"Europe "
"fiat 124 tc                         ","Italy  ",74,2246,"Mid  ",14,"Four ",4,116,75,"fiat         ",26,"Europe "
"honda civic                         ","Japan  ",74,2489,"Mid  ",15,"Four ",4,120,97,"honda        ",24,"Japan  "
"subaru                              ","Japan  ",74,2391,"Mid  ",15.5,"Four ",4,108,93,"subaru       ",26,"Japan  "
"fiat x1.9                           ","Italy  ",74,2000,"Mid  ",16,"Four ",4,79,67,"fiat         ",31,"Europe "
"plymouth valiant custom             ","USA    ",75,3264,"Mid  ",16,"Other",6,225,95,"plymouth     ",19,"USA    "
"chevrolet nova                      ","USA    ",75,3459,"Mid  ",16,"Other",6,250,105,"chevrolet    ",18,"USA    "
"mercury monarch                     ","USA    ",75,3432,"Mid  ",21,"Other",6,250,72,"mercury      ",15,"USA    "
"ford maverick                       ","USA    ",75,3158,"Mid  ",19.5,"Other",6,250,72,"ford         ",15,"USA    "
"pontiac catalina                    ","USA    ",75,4668,"Mid  ",11.5,"Other",8,400,170,"pontiac      ",16,"USA    "
"chevrolet bel air                   ","USA    ",75,4440,"Mid  ",14,"Other",8,350,145,"chevrolet    ",15,"USA    "
"plymouth grand fury                 ","USA    ",75,4498,"Mid  ",14.5,"Other",8,318,150,"plymouth     ",16,"USA    "
"ford ltd                            ","USA    ",75,4657,"Mid  ",13.5,"Other",8,351,148,"ford         ",14,"USA    "
"buick century                       ","USA    ",75,3907,"Mid  ",21,"Other",6,231,110,"buick        ",17,"USA    "
"chevrolet chevelle malibu           ","USA    ",75,3897,"Mid  ",18.5,"Other",6,250,105,"chevrolet    ",16,"USA    "
"amc matador                         ","USA    ",75,3730,"Mid  ",19,"Other",6,258,110,"amc          ",15,"USA    "
"plymouth fury                       ","USA    ",75,3785,"Mid  ",19,"Other",6,225,95,"plymouth     ",18,"USA    "
"buick skyhawk                       ","USA    ",75,3039,"Mid  ",15,"Other",6,231,110,"buick        ",21,"USA    "
"chevrolet monza 2+2                 ","USA    ",75,3221,"Mid  ",13.5,"Other",8,262,110,"chevrolet    ",20,"USA    "
"ford mustang ii                     ","USA    ",75,3169,"Mid  ",12,"Other",8,302,129,"ford         ",13,"USA    "
"toyota corolla                      ","Japan  ",75,2171,"Mid  ",16,"Four ",4,97,75,"toyota       ",29,"Japan  "
"ford pinto                          ","USA    ",75,2639,"Mid  ",17,"Four ",4,140,83,"ford         ",23,"USA    "
"amc gremlin                         ","USA    ",75,2914,"Mid  ",16,"Other",6,232,100,"amc          ",20,"USA    "
"pontiac astro                       ","USA    ",75,2592,"Mid  ",18.5,"Four ",4,140,78,"pontiac      ",23,"USA    "
"toyota corona                       ","Japan  ",75,2702,"Mid  ",13.5,"Four ",4,134,96,"toyota       ",24,"Japan  "
"volkswagen dasher                   ","Germany",75,2223,"Mid  ",16.5,"Four ",4,90,71,"volkswagen   ",25,"Europe "
"datsun 710                          ","Japan  ",75,2545,"Mid  ",17,"Four ",4,119,97,"datsun       ",24,"Japan  "
"ford pinto                          ","USA    ",75,2984,"Mid  ",14.5,"Other",6,171,97,"ford         ",18,"USA    "
"volkswagen rabbit                   ","Germany",75,1937,"Mid  ",14,"Four ",4,90,70,"volkswagen   ",29,"Europe "
"amc pacer                           ","USA    ",75,3211,"Mid  ",17,"Other",6,232,90,"amc          ",19,"USA    "
"audi 100ls                          ","Germany",75,2694,"Mid  ",15,"Four ",4,115,95,"audi         ",23,"Europe "
"peugeot 504                         ","France ",75,2957,"Mid  ",17,"Four ",4,120,88,"peugeot      ",23,"Europe "
"volvo 244dl                         ","Sweden ",75,2945,"Mid  ",14.5,"Four ",4,121,98,"volvo        ",22,"Europe "
"saab 99le                           ","Sweden ",75,2671,"Mid  ",13.5,"Four ",4,121,115,"saab         ",25,"Europe "
"honda civic cvcc                    ","Japan  ",75,1795,"Mid  ",17.5,"Four ",4,91,53,"honda        ",33,"Japan  "
"fiat 131                            ","Italy  ",76,2464,"Mid  ",15.5,"Four ",4,107,86,"fiat         ",28,"Europe "
"opel 1900                           ","Germany",76,2220,"Mid  ",16.9,"Four ",4,116,81,"opel         ",25,"Europe "
"ford capri ii                       ","USA    ",76,2572,"Mid  ",14.9,"Four ",4,140,92,"ford         ",25,"USA    "
"dodge colt                          ","USA    ",76,2255,"Mid  ",17.7,"Four ",4,98,79,"dodge        ",26,"USA    "
"renault 12tl                        ","France ",76,2202,"Mid  ",15.3,"Four ",4,101,83,"renault      ",27,"Europe "
"chevrolet chevelle malibu classic   ","USA    ",76,4215,"Mid  ",13,"Other",8,305,140,"chevrolet    ",17.5,"USA    "
"dodge coronet brougham              ","USA    ",76,4190,"Mid  ",13,"Other",8,318,150,"dodge        ",16,"USA    "
"amc matador                         ","USA    ",76,3962,"Mid  ",13.9,"Other",8,304,120,"amc          ",15.5,"USA    "
"ford gran torino                    ","USA    ",76,4215,"Mid  ",12.8,"Other",8,351,152,"ford         ",14.5,"USA    "
"plymouth valiant                    ","USA    ",76,3233,"Mid  ",15.4,"Other",6,225,100,"plymouth     ",22,"USA    "
"chevrolet nova                      ","USA    ",76,3353,"Mid  ",14.5,"Other",6,250,105,"chevrolet    ",22,"USA    "
"ford maverick                       ","USA    ",76,3012,"Mid  ",17.6,"Other",6,200,81,"ford         ",24,"USA    "
"amc hornet                          ","USA    ",76,3085,"Mid  ",17.6,"Other",6,232,90,"amc          ",22.5,"USA    "
"chevrolet chevette                  ","USA    ",76,2035,"Mid  ",22.2,"Four ",4,85,52,"chevrolet    ",29,"USA    "
"chevrolet woody                     ","USA    ",76,2164,"Mid  ",22.1,"Four ",4,98,60,"chevrolet    ",24.5,"USA    "
"volkswagen rabbit                   ","Germany",76,1937,"Mid  ",14.2,"Four ",4,90,70,"volkswagen   ",29,"Europe "
"honda civic                         ","Japan  ",76,1795,"Mid  ",17.4,"Four ",4,91,53,"honda        ",33,"Japan  "
"dodge aspen se                      ","USA    ",76,3651,"Mid  ",17.7,"Other",6,225,100,"dodge        ",20,"USA    "
"ford granada ghia                   ","USA    ",76,3574,"Mid  ",21,"Other",6,250,78,"ford         ",18,"USA    "
"pontiac ventura sj                  ","USA    ",76,3645,"Mid  ",16.2,"Other",6,250,110,"pontiac      ",18.5,"USA    "
"amc pacer d/l                       ","USA    ",76,3193,"Mid  ",17.8,"Other",6,258,95,"amc          ",17.5,"USA    "
"volkswagen rabbit                   ","Germany",76,1825,"Mid  ",12.2,"Four ",4,97,71,"volkswagen   ",29.5,"Europe "
"datsun b-210                        ","Japan  ",76,1990,"Mid  ",17,"Four ",4,85,70,"datsun       ",32,"Japan  "
"toyota corolla                      ","Japan  ",76,2155,"Mid  ",16.4,"Four ",4,97,75,"toyota       ",28,"Japan  "
"ford pinto                          ","USA    ",76,2565,"Mid  ",13.6,"Four ",4,140,72,"ford         ",26.5,"USA    "
"volvo 245                           ","Sweden ",76,3150,"Mid  ",15.7,"Four ",4,130,102,"volvo        ",20,"Europe "
"plymouth volare premier v8          ","USA    ",76,3940,"Mid  ",13.2,"Other",8,318,150,"plymouth     ",13,"USA    "
"peugeot 504                         ","France ",76,3270,"Mid  ",21.9,"Four ",4,120,88,"peugeot      ",19,"Europe "
"toyota mark ii                      ","Japan  ",76,2930,"Mid  ",15.5,"Other",6,156,108,"toyota       ",19,"Japan  "
"mercedes-benz 280s                  ","Germany",76,3820,"Mid  ",16.7,"Other",6,168,120,"mercedes-benz",16.5,"Europe "
"cadillac seville                    ","USA    ",76,4380,"Mid  ",12.1,"Other",8,350,180,"cadillac     ",16.5,"USA    "
"chevrolet c10                       ","USA    ",76,4055,"Mid  ",12,"Other",8,350,145,"chevrolet    ",13,"USA    "
"ford f108                           ","USA    ",76,3870,"Mid  ",15,"Other",8,302,130,"ford         ",13,"USA    "
"dodge d100                          ","USA    ",76,3755,"Mid  ",14,"Other",8,318,150,"dodge        ",13,"USA    "
"honda accord cvcc                   ","Japan  ",77,2045,"Mid  ",18.5,"Four ",4,98,68,"honda        ",31.5,"Japan  "
"buick opel isuzu deluxe             ","USA    ",77,2155,"Mid  ",14.8,"Four ",4,111,80,"buick        ",30,"USA    "
"renault 5 gtl                       ","France ",77,1825,"Mid  ",18.6,"Four ",4,79,58,"renault      ",36,"Europe "
"plymouth arrow gs                   ","USA    ",77,2300,"Mid  ",15.5,"Four ",4,122,96,"plymouth     ",25.5,"USA    "
"datsun f-10 hatchback               ","Japan  ",77,1945,"Mid  ",16.8,"Four ",4,85,70,"datsun       ",33.5,"Japan  "
"chevrolet caprice classic           ","USA    ",77,3880,"Mid  ",12.5,"Other",8,305,145,"chevrolet    ",17.5,"USA    "
"oldsmobile cutlass supreme          ","USA    ",77,4060,"Mid  ",19,"Other",8,260,110,"oldsmobile   ",17,"USA    "
"dodge monaco brougham               ","USA    ",77,4140,"Mid  ",13.7,"Other",8,318,145,"dodge        ",15.5,"USA    "
"mercury cougar brougham             ","USA    ",77,4295,"Mid  ",14.9,"Other",8,302,130,"mercury      ",15,"USA    "
"chevrolet concours                  ","USA    ",77,3520,"Mid  ",16.4,"Other",6,250,110,"chevrolet    ",17.5,"USA    "
"buick skylark                       ","USA    ",77,3425,"Mid  ",16.9,"Other",6,231,105,"buick        ",20.5,"USA    "
"plymouth volare custom              ","USA    ",77,3630,"Mid  ",17.7,"Other",6,225,100,"plymouth     ",19,"USA    "
"ford granada                        ","USA    ",77,3525,"Mid  ",19,"Other",6,250,98,"ford         ",18.5,"USA    "
"pontiac grand prix lj               ","USA    ",77,4220,"Mid  ",11.1,"Other",8,400,180,"pontiac      ",16,"USA    "
"chevrolet monte carlo landau        ","USA    ",77,4165,"Mid  ",11.4,"Other",8,350,170,"chevrolet    ",15.5,"USA    "
"chrysler cordoba                    ","USA    ",77,4325,"Mid  ",12.2,"Other",8,400,190,"chrysler     ",15.5,"USA    "
"ford thunderbird                    ","USA    ",77,4335,"Mid  ",14.5,"Other",8,351,149,"ford         ",16,"USA    "
"volkswagen rabbit custom            ","Germany",77,1940,"Mid  ",14.5,"Four ",4,97,78,"volkswagen   ",29,"Europe "
"pontiac sunbird coupe               ","USA    ",77,2740,"Mid  ",16,"Four ",4,151,88,"pontiac      ",24.5,"USA    "
"toyota corolla liftback             ","Japan  ",77,2265,"Mid  ",18.2,"Four ",4,97,75,"toyota       ",26,"Japan  "
